,,,,,,,,,,
Trade Date,Symbol,Warehouse,Production Year,Opening Price,Closing Price,High,Low,Change,Persetntage Change,Volume (Ton)
05/21/2012,WYCB4,DL,2004,"1,230.00",0.00,"1,230.00","1,220.00",0,0.0 ,27
06/26/2012,WYCB4,DL,2004,"1,130.00",0.00,"1,130.00","1,130.00",0,0.0 ,27
06/04/2012,WYCB4,DL,2004,"1,160.00",0.00,"1,160.00","1,160.00",0,0.0 ,29.77
05/30/2012,WYCB4,DL,2004,"1,190.00",0.00,"1,190.00","1,190.00",0,0.0 ,8.99
05/31/2012,WYCB4,DL,2004,"1,190.00",0.00,"1,190.00","1,190.00",0,0.0 ,10.8
06/12/2012,WYCB4,DL,2004,"1,080.00",0.00,"1,080.00","1,080.00",0,0.0 ,4.88
07/11/2012,WYCB4,DL,2004,"1,250.00",0.00,"1,250.00","1,250.00",0,0.0 ,10.8
08/03/2012,WYCB4,DL,2004,"1,220.00",0.00,"1,220.00","1,220.00",0,0.0 ,3.16
07/27/2012,WYCB4,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,10.8
08/31/2012,WYCB4,DL,2004,"1,130.00",0.00,"1,130.00","1,130.00",0,0.0 ,7.21
08/28/2012,WYCB4,DL,2004,"1,130.00",0.00,"1,130.00","1,130.00",0,0.0 ,7.21
08/29/2012,WYCB4,DL,2004,"1,130.00",0.00,"1,130.00","1,130.00",0,0.0 ,7.85
10/17/2012,WYCB4,DL,2004,"1,200.00",0.00,"1,200.00","1,200.00",0,0.0 ,7.21
10/05/2012,WYCB4,DL,2004,"1,130.00",0.00,"1,130.00","1,130.00",0,0.0 ,10.8
11/05/2012,WYCB4,DL,2004,"1,130.00",0.00,"1,130.00","1,130.00",0,0.0 ,4.86
12/24/2012,WYCB4,DL,2005,910.00,0.00,910.00,910.00,0,0.0 ,8.99
03/16/2012,WYCB3,DL,2004,"1,271.00",0.00,"1,271.00","1,271.00",0,0.0 ,30.6
03/15/2012,WYCB3,DL,2004,"1,213.00",0.00,"1,213.00","1,210.00",0,0.0 ,37.81
03/13/2012,WYCB3,DL,2004,"1,100.00",0.00,"1,113.00","1,100.00",0,0.0 ,43.2
